,Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total,Round
508,LANKALA DEEPAK REDDY,Bharatiya Janata Party,9023,1118,10141,10
509,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,66,9,75,10
510,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,295,31,326,10
511,M.PRASUNAMBA,Navarang Congress Party,35,4,39,10
512,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,17,1,18,10
513,ANAND RAO,Independent,14,1,15,10
514,MACHCHERLA VENKAT REDDY,Independent,18,2,20,10
515,MOHAMMED AKBARUDDIN,Independent,45,1,46,10
516,MOHAMMED ISMAIL KHAN,Independent,21,1,22,10
517,VANAPARTHY RAMBABU,Independent,34,4,38,10
518,SHAIK KAREEM,Independent,57,3,60,10
519,SHAIK SHAREEF,Independent,70,12,82,10
520,SIDDHARTHA CHAKRAVARTHY,Independent,44,4,48,10
521,SURABHI SINGH,Independent,70,5,75,10
522,SHIV SHANKAR REDDY.S,Independent,51,2,53,10
523,NOTA,None of the Above,458,53,511,10
524,,Total,64307,6387,70694,10
525,KONETI SUJATHA,Bahujan Samaj Party,294,41,335,11
526,MAGANTI GOPINATH,Bharat Rashtra Samithi,27571,4011,31582,11
527,MOHAMMED AZHARUDDIN,Indian National Congress,25923,2408,28331,11
528,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,5337,172,5509,11
529,LANKALA DEEPAK REDDY,Bharatiya Janata Party,10141,852,10993,11
530,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,75,14,89,11
531,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,326,41,367,11
532,M.PRASUNAMBA,Navarang Congress Party,39,5,44,11
533,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,18,2,20,11
534,ANAND RAO,Independent,15,2,17,11
535,MACHCHERLA VENKAT REDDY,Independent,20,5,25,11
536,MOHAMMED AKBARUDDIN,Independent,46,2,48,11
537,MOHAMMED ISMAIL KHAN,Independent,22,2,24,11
538,VANAPARTHY RAMBABU,Independent,38,5,43,11
539,SHAIK KAREEM,Independent,60,17,77,11
540,SHAIK SHAREEF,Independent,82,5,87,11
541,SIDDHARTHA CHAKRAVARTHY,Independent,48,10,58,11
542,SURABHI SINGH,Independent,75,13,88,11
543,SHIV SHANKAR REDDY.S,Independent,53,4,57,11
544,NOTA,None of the Above,511,62,573,11
545,,Total,70694,7673,78367,11
546,KONETI SUJATHA,Bahujan Samaj Party,335,30,365,12
547,MAGANTI GOPINATH,Bharat Rashtra Samithi,31582,3287,34869,12
548,MOHAMMED AZHARUDDIN,Indian National Congress,28331,2104,30435,12
549,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,5509,177,5686,12
550,LANKALA DEEPAK REDDY,Bharatiya Janata Party,10993,438,11431,12
551,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,89,8,97,12
552,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,367,38,405,12
553,M.PRASUNAMBA,Navarang Congress Party,44,2,46,12
554,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,20,4,24,12
555,ANAND RAO,Independent,17,1,18,12
556,MACHCHERLA VENKAT REDDY,Independent,25,2,27,12
557,MOHAMMED AKBARUDDIN,Independent,48,4,52,12
558,MOHAMMED ISMAIL KHAN,Independent,24,1,25,12
559,VANAPARTHY RAMBABU,Independent,43,7,50,12
560,SHAIK KAREEM,Independent,77,11,88,12
561,SHAIK SHAREEF,Independent,87,6,93,12
562,SIDDHARTHA CHAKRAVARTHY,Independent,58,9,67,12
563,SURABHI SINGH,Independent,88,7,95,12
564,SHIV SHANKAR REDDY.S,Independent,57,10,67,12
565,NOTA,None of the Above,573,21,594,12
566,,Total,78367,6167,84534,12
